res_state,res_district,res_year,res_month,res_frl,liv_cap,rainfall,population,water demand (cubic meters),water demand (MCM)
Gujarat,Bhavnagar,2009,january,55.53,0.3,0.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,february,55.53,0.3,0.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,march,55.53,0.3,0.3,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,april,55.53,0.3,0.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,may,55.53,0.3,0.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,june,55.53,0.3,17.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,july,55.53,0.3,390.3,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,august,55.53,0.3,143.5,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,september,55.53,0.3,54.9,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,october,55.53,0.3,27.4,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,november,55.53,0.3,8.1,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2009,december,55.53,0.3,0.0,590000.0,12331.0,0.012331
Gujarat,Bhavnagar,2010,january,55.53,0.3,0.2,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,february,55.53,0.3,0.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,march,55.53,0.3,0.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,april,55.53,0.3,0.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,may,55.53,0.3,0.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,june,55.53,0.3,59.3,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,july,55.53,0.3,328.2,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,august,55.53,0.3,431.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,september,55.53,0.3,216.6,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,october,55.53,0.3,12.2,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,november,55.53,0.3,41.0,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2010,december,55.53,0.3,0.2,600000.0,12540.0,0.012539999999999999
Gujarat,Bhavnagar,2011,january,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,february,55.53,0.3,0.2,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,march,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,april,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,may,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,june,55.53,0.3,16.3,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,july,55.53,0.3,259.2,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,august,55.53,0.3,451.7,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,september,55.53,0.3,162.5,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,october,55.53,0.3,0.4,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,november,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2011,december,55.53,0.3,0.0,609000.0,12728.099999999999,0.012728099999999997
Gujarat,Bhavnagar,2012,january,55.53,0.3,0.1,619000.0,12937.099999999999,0.012937099999999998
Gujarat,Bhavnagar,2012,february,55.53,0.3,0.0,619000.0,12937.099999999999,0.012937099999999998
Gujarat,Bhavnagar,2012,march,55.53,0.3,0.0,619000.0,12937.099999999999,0.012937099999999998
